Source,Target,Type,Id,Label,timeset,Weight,count
18016,1,Directed,18016>1,,,1,1
8323,1,Directed,8323>1,,,1,1
3269,1,Directed,3269>1,,,1,1
11974,1,Directed,11974>1,,,1,1
7720,1,Directed,7720>1,,,1,1
13546,1,Directed,13546>1,,,1,1
15947,1,Directed,15947>1,,,1,1
7858,1,Directed,7858>1,,,1,1
11983,1,Directed,11983>1,,,1,1
3473,1,Directed,3473>1,,,1,1
7986,1,Directed,7986>1,,,1,1
7700,1,Directed,7700>1,,,1,1
18733,1,Directed,18733>1,,,1,1
20087,1,Directed,20087>1,,,1,1
25940,1,Directed,25940>1,,,1,1
14427,1,Directed,14427>1,,,1,1
15869,1,Directed,15869>1,,,1,1
15013,1,Directed,15013>1,,,1,1
7688,2,Directed,7688>2,,,1,1
8369,2,Directed,8369>2,,,1,1
23446,2,Directed,23446>2,,,1,1
22849,2,Directed,22849>2,,,1,1
128,3,Directed,128>3,,,1,1
14976,3,Directed,14976>3,,,1,1
18178,3,Directed,18178>3,,,1,1
11012,3,Directed,11012>3,,,1,1
3593,3,Directed,3593>3,,,1,1
139,3,Directed,139>3,,,1,1
3473,3,Directed,3473>3,,,1,1
11029,3,Directed,11029>3,,,1,1
19223,3,Directed,19223>3,,,1,1
19098,3,Directed,19098>3,,,1,1
11035,3,Directed,11035>3,,,1,1
13596,3,Directed,13596>3,,,1,1
20256,3,Directed,20256>3,,,1,1
3479,3,Directed,3479>3,,,1,1
19243,3,Directed,19243>3,,,1,1
17966,3,Directed,17966>3,,,1,1
13105,3,Directed,13105>3,,,1,1
20147,3,Directed,20147>3,,,1,1
4020,3,Directed,4020>3,,,1,1
3381,3,Directed,3381>3,,,1,1
705,3,Directed,705>3,,,1,1
19339,3,Directed,19339>3,,,1,1
8388,3,Directed,8388>3,,,1,1
12488,3,Directed,12488>3,,,1,1
15949,3,Directed,15949>3,,,1,1
6223,3,Directed,6223>3,,,1,1
18641,3,Directed,18641>3,,,1,1
18816,3,Directed,18816>3,,,1,1
3158,3,Directed,3158>3,,,1,1
15575,3,Directed,15575>3,,,1,1
3928,3,Directed,3928>3,,,1,1
3417,3,Directed,3417>3,,,1,1
